Game Name,Genre,Gender Preference,Rating,Release Year,Size,Platform
Beyond Sunset,Battle,Female,0.0,2023,6334MB,"PC, macOS"
Akai Katana,Battle,Male,0.0,2011,124GB,Xbox 360
Sniper Elite: Berlin 1945,Battle,Male,0.0,2005,3882MB,"PC, macOS"
Far Cry Instincts: Evolution,Battle,Both,3.0,2006,4663MB,"Xbox 360, Xbox"
Apocalypse,Battle,Female,3.8,1998,4320MB,PlayStation
Time Carnage,Battle,Male,0.0,2017,45GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS"
Global Operations,Battle,Male,3.9,2002,7921MB,PC
Cold Zero: The Last Stand,Battle,Male,3.6,2003,7278MB,PC
Sniper Elite: Resistance,Battle,Female,0.0,2025,47GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
No Players Online,Battle,Both,3.7,2019,4474MB,"PC, Linux"
Spear of Destiny,Battle,Male,3.8,1992,17GB,PC
Fade to Black,Battle,Male,3.1,1995,40GB,"PC, PlayStation"
Battlefield 4: China Rising,Battle,Both,3.7,2013,138GB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Crysis Remastered Trilogy,Battle,Male,0.0,2021,144GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Time Wasters,Battle,Male,3.0,2023,71GB,"PC, Web"
Star Force,Battle,Both,3.5,1985,20GB,NES
Borderlands 2: Sir Hammerlock’s Big Game Hunt,Battle,Female,3.4,2013,150GB,"PC, PlayStation 3"
Star Wars Battlefront: Elite Squadron,Battle,Female,3.6,2009,135GB,"Nintendo DS, PSP"
Ginga Force,Battle,Male,0.0,2020,140GB,"PC, PlayStation 4"
Vomitoreum,Battle,Female,4.2,2021,4315MB,"PC, Linux"
Far Cry Vengeance,Battle,Both,2.6,2006,99GB,Wii
Van Helsing,Battle,Both,3.8,2004,78GB,"Xbox, PlayStation 2"
.kkrieger,Battle,Male,3.9,2004,94GB,PC
Mega Zombie,Battle,Both,0.0,2021,4004MB,PlayStation 4
Star Raiders,Battle,Male,0.0,2011,6815MB,"PC, Xbox 360, PlayStation 3"
Zombieland: Double Tap - Road Trip,Battle,Male,0.0,2019,75GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
My Friendly Neighborhood,Battle,Both,4.3,2023,4534MB,PC
Operation Flashpoint: Resistance,Battle,Both,4.1,2002,582MB,PC
Battlefield 2142: Northern Strike,Battle,Male,3.7,2007,70GB,PC
Saints Row IV: Enter the Dominatrix,Battle,Male,3.0,2013,76GB,"PC, PlayStation 3"
Outlaw,Battle,Female,2.5,1976,48GB,"Atari 2600, Atari Flashback"
Blowout,Battle,Male,0.0,2003,6136MB,"PC, Xbox 360, PlayStation 3"
SACRALITH: The Archer`s Tale,Battle,Both,0.0,2017,2547MB,"PC, PlayStation 4"
Andro Dunos II,Battle,Female,0.0,2022,4399MB,"PC, Nintendo Switch"
Metal Gear Solid: VR Missions (DLC),Battle,Both,3.8,1999,4117MB,PlayStation
Driver '76,Battle,Male,3.4,2007,86GB,PSP
Portal 2,Thinking/Logical,Both,4.6,2011,102GB,"PC, Xbox One, macOS, Linux, Xbox 360, PlayStation 3"
Portal,Thinking/Logical,Male,4.5,2007,36GB,"PC, Nintendo Switch, Android, macOS, Linux, Xbox 360, PlayStation 3"
Limbo,Thinking/Logical,Both,4.1,2010,102GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, Xbox 360, PlayStation 3, PS Vita"
Half-Life 2: Episode Two,Thinking/Logical,Female,4.5,2007,88GB,"PC, Android, macOS, Linux, Xbox 360"
INSIDE,Thinking/Logical,Female,4.4,2016,31GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS"
Trine 2: Complete Story,Thinking/Logical,Female,3.7,2013,140GB,"PC, PlayStation 4, Nintendo Switch, macOS, Linux"
Lara Croft and the Temple of Osiris,Thinking/Logical,Female,3.1,2014,141GB,"PC, Xbox One, PlayStation 4"
"Papers, Please",Thinking/Logical,Female,4.4,2013,77GB,"PC, iOS, Android, macOS, Linux, PS Vita"
FEZ,Thinking/Logical,Male,4.0,2012,4966MB,"PC, PlayStation 4, Nintendo Switch, iOS, macOS, Linux, Xbox 360, PlayStation 3, PS Vita"
Syberia,Thinking/Logical,Both,3.9,2002,1388MB,"PC, Nintendo Switch, iOS, Android, Nintendo DS, macOS, Xbox 360, PlayStation 3"
Grim Fandango Remastered,Thinking/Logical,Male,4.0,2015,14GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita"
The Witness,Thinking/Logical,Both,4.0,2016,39GB,"PC, Xbox One, PlayStation 4, iOS, Android, macOS"
Syberia 2,Thinking/Logical,Both,3.9,2004,113GB,"PC, Nintendo Switch, iOS, Android, macOS, Xbox 360, Xbox, PlayStation 3, PlayStation 2"
Human: Fall Flat,Thinking/Logical,Both,3.8,2016,1710MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux"
Braid,Thinking/Logical,Female,4.2,2008,2159MB,"PC, Xbox One, iOS, macOS, Linux, Xbox 360, PlayStation 3"
Stray,Thinking/Logical,Both,4.2,2022,138GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS"
Orwell: Keeping an Eye On You,Thinking/Logical,Male,3.3,2016,119GB,"PC, iOS, Android, macOS, Linux"
Broken Age,Thinking/Logical,Male,3.6,2014,6497MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita"
The Talos Principle,Thinking/Logical,Male,4.2,2014,134GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux"
Gris,Thinking/Logical,Female,4.2,2018,7631MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, Android, macOS"
Deponia,Thinking/Logical,Both,3.8,2012,134GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux"
Outer Wilds,Thinking/Logical,Female,4.4,2019,4398MB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Valiant Hearts: The Great War,Thinking/Logical,Female,4.4,2014,137GB,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Xbox 360, PlayStation 3"
The Swapper,Thinking/Logical,Both,3.5,2013,120GB,"PC, PlayStation 4, Xbox One, macOS, Linux, PlayStation 3, PS Vita, Wii U"
Machinarium,Thinking/Logical,Both,4.2,2009,115GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PlayStation 3, PS Vita"
World of Goo,Thinking/Logical,Female,4.0,2008,44GB,"PC, Nintendo Switch, iOS, Android, macOS, Linux, Wii"
VVVVVV,Thinking/Logical,Male,3.8,2010,5581MB,"PC, PlayStation 4, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Linux, PS Vita"
SteamWorld Dig,Thinking/Logical,Both,3.8,2013,1925MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, Nintendo 3DS, macOS, Linux, PS Vita, Wii U"
Unravel,Thinking/Logical,Female,3.9,2016,4850MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360"
Scribblenauts Unlimited,Thinking/Logical,Both,3.6,2012,5706MB,"PC, iOS, Android, Nintendo 3DS, Wii U"
RiME,Thinking/Logical,Male,3.7,2017,57GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
SpaceChem,Thinking/Logical,Male,3.1,2011,2177MB,"PC, Android, macOS, Linux"
LittleBigPlanet 3,Thinking/Logical,Both,3.5,2014,64GB,"PlayStation 4, PlayStation 3"
Snake Pass,Thinking/Logical,Male,3.2,2017,2229MB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
We Were Here,Thinking/Logical,Female,3.8,2017,6108MB,"PC, Xbox One, PlayStation 4, macOS, Linux"
Her Story,Thinking/Logical,Female,4.0,2015,92GB,"PC, iOS, Android, macOS"
Helltaker,Thinking/Logical,Male,4.0,2020,6GB,"PC, macOS, Linux"
Unravel Two,Thinking/Logical,Female,4.0,2018,122GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Antichamber,Thinking/Logical,Both,4.0,2013,6552MB,"PC, macOS, Linux"
The Last Guardian,Thinking/Logical,Both,4.1,2016,62GB,PlayStation 4
Catherine,Thinking/Logical,Female,4.1,2011,55GB,"PC, Xbox One, Xbox 360, PlayStation 3"
Stealth Inc 2: A Game of Clones,Thinking/Logical,Both,2.8,2014,109GB,"PC, PlayStation 4, Xbox One, Android, PlayStation 3, PS Vita, Wii U"
Keep Talking and Nobody Explodes,Thinking/Logical,Both,4.2,2015,145GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, Android, macOS"
Little Inferno,Thinking/Logical,Female,3.8,2012,1021MB,"PC, Nintendo Switch, iOS, Android, macOS, Linux, Wii U"
Tricky Towers,Thinking/Logical,Female,3.7,2016,6678MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux"
Hue,Thinking/Logical,Male,3.4,2016,96GB,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, macOS, Linux, PS Vita"
Untitled Goose Game,Thinking/Logical,Female,4.0,2019,2606MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS"
Superliminal,Thinking/Logical,Both,4.2,2019,7GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux"
Pixel Puzzles Ultimate,Thinking/Logical,Both,2.0,2016,72GB,PC
Portal Stories: Mel,Thinking/Logical,Female,4.0,2015,132GB,"PC, macOS, Linux"
Pid,Thinking/Logical,Female,2.6,2012,1197MB,"PC, macOS, Xbox 360, PlayStation 3"
The Bridge,Thinking/Logical,Female,3.3,2013,74GB,"PC, PlayStation 4, Xbox One, Nintendo Switch, macOS, Linux, Xbox 360, PlayStation 3, PS Vita, Wii U"
Mini Metro,Thinking/Logical,Female,4.1,2015,5082MB,"PC, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux"
The Tiny Bang Story,Thinking/Logical,Both,3.2,2011,150GB,"PC, Nintendo Switch, iOS, Android, macOS, Linux"
Puzzle Agent,Thinking/Logical,Female,3.2,2010,104GB,"PC, iOS, macOS, PlayStation 3"
Back to the Future: The Game,Thinking/Logical,Both,3.4,2010,130GB,"PC, PlayStation 4, iOS, macOS, Xbox 360, PlayStation 3, Wii"
The Escapists,Thinking/Logical,Female,3.4,2015,107GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, Xbox 360"
Pony Island,Thinking/Logical,Both,4.0,2016,1211MB,"PC, macOS, Linux"
Figment,Thinking/Logical,Male,3.2,2017,75GB,"PC, PlayStation 4, Nintendo Switch, iOS, macOS, Linux"
Plants vs. Zombies,Thinking/Logical,Female,4.2,2009,117GB,"PC, Xbox One, iOS, Android, Nintendo DS, Xbox 360, PlayStation 3, PS Vita"
Q.U.B.E: Director's Cut,Thinking/Logical,Female,3.2,2014,145GB,"PC, PlayStation 4, Xbox One, Android, macOS, Linux, PlayStation 3, Wii U"
Magrunner: Dark Pulse,Thinking/Logical,Both,2.6,2013,6523MB,"PC, Xbox 360, PlayStation 3"
Tomb Raider IV: The Last Revelation,Thinking/Logical,Female,3.7,1999,94GB,"PC, PlayStation, Classic Macintosh, Dreamcast"
Broken Sword 1 - Shadow of the Templars (The Director's Cut),Thinking/Logical,Female,4.0,2009,1100MB,"PC, iOS, Android, Nintendo DS, macOS, Linux, Wii"
Stacking,Thinking/Logical,Both,3.4,2011,121GB,"PC, macOS, Linux, Xbox 360, PlayStation 3"
Kathy Rain,Thinking/Logical,Male,2.9,2016,3314MB,"PC, iOS, Android, macOS"
Baba Is You,Thinking/Logical,Female,4.4,2019,1640MB,"PC, Nintendo Switch, iOS, Android, macOS, Linux"
Lara Croft GO,Thinking/Logical,Female,3.7,2015,7069MB,"PC, PlayStation 4, iOS, Android, macOS, Linux, PS Vita"
Trine 4: The Nightmare Prince,Thinking/Logical,Both,3.9,2019,145GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Supraland,Thinking/Logical,Both,4.0,2019,752MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, Linux"
Rusty Lake Hotel,Thinking/Logical,Both,3.8,2015,135GB,"PC, iOS, Android, macOS"
"I Have No Mouth, and I Must Scream",Thinking/Logical,Male,3.3,1995,23GB,"PC, iOS, Android, macOS, Linux"
Contrast,Thinking/Logical,Both,3.3,2013,2880MB,"PC, Xbox One, PlayStation 4, Android, Xbox 360, PlayStation 3"
Teslagrad,Thinking/Logical,Male,3.3,2013,52GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PlayStation 3, PS Vita, Wii U"
Ken Follett's The Pillars of the Earth,Thinking/Logical,Male,3.5,2017,3713MB,"PC, Xbox One, PlayStation 4, iOS, macOS, Linux"
Divide By Sheep,Thinking/Logical,Both,2.3,2015,2173MB,"PC, iOS, macOS"
Back to Bed,Thinking/Logical,Female,2.8,2014,143GB,"PC, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PlayStation 3, Wii U"
Puzzle Agent 2,Thinking/Logical,Male,3.3,2011,13GB,"PC, iOS, macOS"
Edna & Harvey: Harvey's New Eyes,Thinking/Logical,Male,3.3,2011,7663MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux"
Poly Bridge,Thinking/Logical,Male,3.5,2016,2544MB,"PC, Nintendo Switch, iOS, Android, macOS, Linux"
Hexic HD,Thinking/Logical,Both,2.6,2005,3087MB,"Xbox One, Xbox 360"
Deadlight: Director's Cut,Thinking/Logical,Both,3.5,2016,108GB,"PC, Xbox One, PlayStation 4"
Old Man's Journey,Thinking/Logical,Both,3.6,2017,6246MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS"
The Cave,Thinking/Logical,Female,3.6,2013,94GB,"PC, iOS, Android, macOS, Linux, Xbox 360, PlayStation 3, Wii U"
The Whispered World Special Edition,Thinking/Logical,Male,3.5,2014,2611MB,"PC, iOS, macOS, Linux"
Botanicula,Thinking/Logical,Both,3.9,2012,128GB,"PC, iOS, Android, macOS, Linux"
Donut County,Thinking/Logical,Male,4.0,2018,126GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS"
Osmos,Thinking/Logical,Both,3.7,2009,69GB,"PC, iOS, Android, macOS, Linux"
Deponia Doomsday,Thinking/Logical,Female,4.1,2016,19GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux"
NightSky,Thinking/Logical,Male,2.7,2011,132GB,"PC, iOS, Nintendo 3DS, macOS, Linux"
Tetris Effect: Connected,Thinking/Logical,Female,4.2,2020,3118MB,"PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
The Unfinished Swan,Thinking/Logical,Female,3.5,2012,36GB,"PC, PlayStation 4, iOS, PlayStation 3, PS Vita"
Do Not Feed the Monkeys,Thinking/Logical,Female,3.9,2018,964MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux"
Portal with RTX,Thinking/Logical,Both,3.6,2022,137GB,PC
And Yet It Moves,Thinking/Logical,Female,2.9,2009,6967MB,"PC, iOS, macOS, Linux, Wii"
Cogs,Thinking/Logical,Male,2.7,2009,6678MB,"PC, iOS, Android, macOS, Linux"
The Room,Thinking/Logical,Female,4.2,2012,2299MB,"PC, Nintendo Switch, iOS, Android"
LEGO Star Wars: The Force Awakens,Thinking/Logical,Both,3.6,2016,3432MB,"PC, PlayStation 4, Xbox One, iOS, Android, Nintendo 3DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U"
We Were Here Too,Thinking/Logical,Male,3.8,2018,7938MB,"PC, Xbox One, PlayStation 4, macOS, Linux"
Call of the Sea,Thinking/Logical,Both,3.7,2020,1776MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
McPixel,Thinking/Logical,Male,3.0,2012,47GB,"PC, iOS, Android, macOS"
Syberia 3,Thinking/Logical,Both,3.0,2017,3327MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS"
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition Double Pack",Thinking/Logical,Female,2.2,2009,30GB,PC
Obduction,Thinking/Logical,Female,3.2,2016,7728MB,"PC, Xbox One, PlayStation 4, macOS"
The Silent Age,Thinking/Logical,Male,3.5,2012,119GB,"PC, iOS, Android, macOS, PS Vita"
Eets Munchies,Thinking/Logical,Female,2.3,2014,5299MB,"PC, iOS, macOS, Linux"
We Were Here Together,Thinking/Logical,Both,4.0,2019,512MB,"PC, Xbox One, PlayStation 4, macOS, Linux"
A Virus Named TOM,Thinking/Logical,Both,2.3,2012,2388MB,"PC, macOS, Linux, PlayStation 3, PS Vita"
Hello Neighbor,Thinking/Logical,Male,2.8,2017,5770MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android"
Papo & Yo,Thinking/Logical,Female,3.4,2012,19GB,"PC, macOS, Linux, PlayStation 3"
Grimm - GameClub,Thinking/Logical,Male,1.9,2011,80GB,iOS
Strange Brigade,Thinking/Logical,Male,3.3,2018,5695MB,"PC, Xbox One, PlayStation 4"
Broken Sword 2 - The Smoking Mirror (Remastered),Thinking/Logical,Female,4.0,2009,86GB,"PC, iOS, Android, macOS, Linux"
TIS-100,Thinking/Logical,Both,3.6,2015,45GB,"PC, macOS, Linux"
Quantum Conundrum,Thinking/Logical,Male,3.2,2012,1261MB,"PC, Xbox 360, PlayStation 3"
Closure,Thinking/Logical,Female,2.9,2012,5745MB,"PC, Linux, PlayStation 3"
Edge,Thinking/Logical,Male,3.6,2011,47GB,"PC, iOS, Android, Nintendo 3DS, macOS, Linux, PlayStation 3, PSP, Wii U"
Bejeweled 3,Thinking/Logical,Male,3.5,2010,105GB,"PC, Nintendo DS, macOS, Xbox 360, PlayStation 3"
LEGO Jurassic World,Thinking/Logical,Both,3.7,2015,61GB,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U"
Vessel,Thinking/Logical,Male,2.9,2012,5015MB,"PC, Xbox 360, PlayStation 3"
Gorogoa,Thinking/Logical,Both,4.3,2017,1495MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS"
2064: Read Only Memories,Thinking/Logical,Both,3.2,2015,1418MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux"
Human Resource Machine,Thinking/Logical,Male,4.0,2015,7649MB,"PC, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita, Wii U"
Flight of the Amazon Queen,Thinking/Logical,Female,2.3,1995,2782MB,"PC, iOS, Android, macOS, Classic Macintosh, Commodore / Amiga"
SHENZHEN I/O,Thinking/Logical,Female,3.9,2016,65GB,"PC, macOS, Linux"
Beatbuddy: Tale of the Guardians,Thinking/Logical,Both,2.6,2013,30GB,"PC, Xbox One, macOS, Linux"
Worms Crazy Golf,Thinking/Logical,Both,2.6,2011,5279MB,"PC, iOS, macOS, PlayStation 3"
HuniePop,Thinking/Logical,Both,3.9,2015,1681MB,"PC, macOS, Linux"
Banjo-Kazooie,Thinking/Logical,Both,4.2,1998,5868MB,"Xbox One, Nintendo Switch, Xbox 360, Nintendo 64"
Hitman GO: Definitive Edition,Thinking/Logical,Female,3.6,2016,91GB,"PC, PlayStation 4, Linux, PS Vita"
Bridge Constructor Portal,Thinking/Logical,Female,3.6,2017,111GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux"
Morphopolis,Thinking/Logical,Female,2.6,2013,60GB,"PC, iOS, Android"
Type: Rider,Thinking/Logical,Both,3.0,2013,58GB,"PC, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita"
PAC-MAN Championship Edition DX+,Thinking/Logical,Female,3.8,2013,2534MB,"PC, iOS, Android, Xbox 360, PlayStation 3"
The Longest Journey,Thinking/Logical,Female,4.4,1999,19GB,PC
State of Mind,Thinking/Logical,Male,3.4,2018,64GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux"
Worms Blast,Thinking/Logical,Female,2.6,2002,2454MB,"PC, PlayStation 2, GameCube, Game Boy Advance, Classic Macintosh"
Friday the 13th: Killer Puzzle,Thinking/Logical,Both,3.1,2018,124GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS"
Bridge Constructor,Thinking/Logical,Male,3.2,2012,132GB,"PC, PlayStation 4, Xbox One, iOS, Android, macOS, Linux, PS Vita"
Tumblestone,Thinking/Logical,Both,2.4,2016,8GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux, Wii U"
Opus Magnum,Thinking/Logical,Female,4.2,2017,16GB,"PC, macOS, Linux"
The Suicide of Rachel Foster,Thinking/Logical,Female,3.3,2020,51GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Toki Tori 2+,Thinking/Logical,Female,3.0,2013,24GB,"PC, PlayStation 4, Nintendo Switch, macOS, Linux, Wii U"
Evergarden,Thinking/Logical,Female,2.6,2018,7711MB,"PC, iOS, macOS, Linux"
Broken Sword 5 - The Serpent's Curse,Thinking/Logical,Male,3.6,2013,5085MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux"
The Room Two,Thinking/Logical,Both,4.3,2013,4318MB,"PC, iOS, Android"
Odysseus Kosmos - Episode 1,Thinking/Logical,Male,2.2,2018,3479MB,"PC, iOS"
Neighbours back From Hell,Thinking/Logical,Male,4.2,2020,6143MB,"PC, Xbox One, PlayStation 4, iOS"
Dorfromantik,Thinking/Logical,Female,3.9,2022,68GB,"PC, Nintendo Switch"
Neighbours from Hell Compilation,Thinking/Logical,Male,3.9,2004,1626MB,"PC, Nintendo Switch"
Trüberbrook – A Nerd Saves the World,Thinking/Logical,Male,3.4,2019,114GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux"
CrossCode,Thinking/Logical,Female,4.3,2015,2049MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux"
Danganronpa V3: Killing Harmony,Thinking/Logical,Male,4.3,2017,92GB,"PC, PlayStation 4, Nintendo Switch, PS Vita"
Samorost 3,Thinking/Logical,Male,4.2,2016,42GB,"PC, iOS, Android, macOS"
The Journey Down: Chapter One,Thinking/Logical,Female,3.2,2012,5207MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux"
Carto,Thinking/Logical,Both,3.9,2020,951MB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Hand Simulator,Thinking/Logical,Female,3.1,2017,3510MB,"PC, iOS"
Hack 'n' Slash,Thinking/Logical,Female,2.8,2014,1837MB,"PC, macOS, Linux"
The Gardens Between,Thinking/Logical,Male,3.8,2018,45GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS"
Zombie Night Terror,Thinking/Logical,Both,3.4,2016,119GB,"PC, Nintendo Switch, iOS, Android, macOS, Linux"
The Adventures of Shuggy,Thinking/Logical,Female,2.5,2011,33GB,"PC, macOS, Linux, Xbox 360"
Edna & Harvey: The Breakout,Thinking/Logical,Both,3.6,2008,124GB,"PC, iOS"
LYNE,Thinking/Logical,Female,3.2,2014,7353MB,"PC, iOS, Android, macOS, Linux"
Litil Divil,Thinking/Logical,Female,1.9,1993,3079MB,"PC, macOS, Linux, Classic Macintosh, Commodore / Amiga"
Peaky Blinders: Mastermind,Thinking/Logical,Both,2.8,2020,46GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Car Mechanic Simulator 2014,Thinking/Logical,Male,3.0,2014,93GB,"PC, iOS, macOS"
Bendy and the Ink Machine,Thinking/Logical,Both,3.5,2017,4899MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita"
ROBLOX,Thinking/Logical,Female,3.3,2006,1279MB,"PC, Xbox One, iOS, Android, macOS"
Desktop Dungeons,Thinking/Logical,Male,3.0,2013,45GB,"PC, iOS, Android, macOS, Linux"
Sanitarium,Thinking/Logical,Both,3.9,1998,103GB,"PC, iOS, Android"
ibb & obb,Thinking/Logical,Male,3.5,2013,131GB,"PC, Nintendo Switch, macOS, Linux, PlayStation 3"
Infinifactory,Thinking/Logical,Both,3.9,2015,5935MB,"PC, PlayStation 4, macOS, Linux"
Thimbleweed Park,Thinking/Logical,Both,4.1,2017,6426MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux"
Nihilumbra,Thinking/Logical,Both,3.4,2012,15GB,"PC, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita, Wii U"
Blocks That Matter,Thinking/Logical,Male,2.8,2011,1393MB,"PC, macOS, Linux"
Anna's Quest,Thinking/Logical,Female,3.7,2015,716MB,"PC, iOS, macOS, Linux"
TRAUMA,Thinking/Logical,Male,2.3,2011,92GB,"PC, iOS, macOS"
Paradigm,Thinking/Logical,Female,3.2,2017,109GB,"PC, macOS, Linux"
Detention,Thinking/Logical,Male,4.1,2017,7346MB,"PC, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux"
The Ball,Thinking/Logical,Female,2.7,2010,115GB,PC
Journey to the Center of the Earth,Thinking/Logical,Female,1.9,2003,90GB,"PC, macOS, Linux"
PixelJunk Eden,Thinking/Logical,Male,2.9,2008,38GB,"PC, PlayStation 3"
Tales of the Neon Sea,Thinking/Logical,Female,3.1,2018,120GB,"PC, iOS"
Lumino City,Thinking/Logical,Female,3.4,2014,7298MB,"PC, iOS, Android, macOS"
Road Not Taken,Thinking/Logical,Female,2.8,2014,3629MB,"PC, PlayStation 4, iOS, Android, macOS"
Rusty Lake Roots,Thinking/Logical,Male,4.0,2016,70GB,"PC, iOS, Android, macOS"
N++ (NPLUSPLUS),Thinking/Logical,Female,4.1,2015,145GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS"
EXAPUNKS,Thinking/Logical,Both,4.2,2018,7GB,"PC, macOS, Linux"
Max: The Curse of Brotherhood,Thinking/Logical,Female,3.5,2013,3161MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Xbox 360"
Relicta,Thinking/Logical,Both,2.8,2020,119GB,"PC, Xbox One, PlayStation 4"
Felix The Reaper,Thinking/Logical,Both,3.0,2019,117GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS"
Journey of a Roach,Thinking/Logical,Male,3.0,2013,13GB,"PC, iOS, macOS, Linux"
Death Squared,Thinking/Logical,Male,3.4,2017,106GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, Android, macOS"
Peggle Deluxe,Thinking/Logical,Female,3.9,2007,6005MB,"PC, macOS"
Whispering Willows,Thinking/Logical,Both,2.9,2013,42GB,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, macOS, Linux, PS Vita, Wii U"
Eufloria HD,Thinking/Logical,Male,3.5,2012,6873MB,"PC, iOS, Android, macOS, Linux, PS Vita"
The Pedestrian,Thinking/Logical,Both,4.1,2020,73GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux"
Katamari Damacy REROLL,Thinking/Logical,Female,4.3,2018,55GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Agatha Christie - The ABC Murders,Thinking/Logical,Both,3.4,2016,128GB,"PC, PlayStation 4, Xbox One, iOS, Android, Nintendo DS, macOS, Linux"
Sam & Max: Episode 204 - Chariots of the Dogs,Thinking/Logical,Male,3.1,2008,127GB,"PC, iOS, macOS"
Spirits,Thinking/Logical,Both,2.8,2010,66GB,"PC, iOS, Android, macOS, Linux"
